episode,reward,training_reward,steps,success,epsilon
141,4.39,4.630000000000001,61,1,0.5705679585983489
142,4.3,4.540000000000001,50,1,0.5682856867639554
143,4.88,5.09,32,1,0.5660125440168996
144,-2.62,-2.4399999999999995,22,0,0.563748493840832
145,-3.8,-3.59,40,0,0.5614934998654687
146,-2.1399999999999997,-1.9599999999999997,14,0,0.5592475258660068
147,4.92,5.07,28,1,0.5570105357625428
148,5.4,5.550000000000001,20,1,0.5547824936194926
149,4.220000000000001,4.49,38,1,0.5525633636450147
150,-2.96,-2.6599999999999997,16,0,0.5503531101904346
151,3.42,3.750000000000001,58,1,0.5481516977496729
152,5.59,5.74,21,1,0.5459590909586742
153,3.69,4.0200000000000005,51,1,0.5437752545948396
154,-6.719999999999995,-6.540000000000001,92,0,0.5416001535764602
155,-3.58,-3.34,28,0,0.5394337529621543
156,-6.7199999999999855,-6.630000000000006,102,0,0.5372760179503058
157,4.71,4.920000000000001,39,1,0.5351269138785045
158,-1.5699999999999998,-1.4499999999999997,17,0,0.5329864062229905
159,-5.429999999999999,-5.3999999999999995,23,0,0.5308544605980986
160,-2.61,-2.5199999999999996,31,0,0.5287310427557061
161,4.4799999999999995,4.69,52,1,0.5266161185846833
162,-4.449999999999996,-4.42,45,0,0.5245096541103446
163,5.2299999999999995,5.440000000000001,37,1,0.5224116154939031
164,-2.0599999999999996,-1.9399999999999995,6,0,0.5203219690319275
165,4.35,4.5600000000000005,45,1,0.5182406811557998
166,5.49,5.73,31,1,0.5161677184311766
167,3.6999999999999993,4.03,70,1,0.5141030475574518
168,-2.62,-2.32,12,0,0.5120466353672221
169,4.7,4.91,30,1,0.5099984488257532
170,5.05,5.29,35,1,0.5079584550304501
171,-3.3999999999999977,-3.25,50,0,0.5059266212103283
172,-2.73,-2.4299999999999997,13,0,0.503902914725487
173,4.79,5.0,41,1,0.501887303066585
174,4.609999999999999,4.82,39,1,0.49987975385431865
175,-2.3299999999999996,-2.1499999999999995,13,0,0.49788023483890137
176,3.6900000000000004,4.020000000000001,51,1,0.49588871389954575
177,5.32,5.470000000000001,28,1,0.49390515904394755
178,5.0600000000000005,5.2700000000000005,34,1,0.49192953840777176
179,-2.0799999999999996,-2.0799999999999996,8,0,0.48996182025414065
180,2.9099999999999997,3.150000000000001,69,1,0.4880019729731241
181,-5.88999999999999,-5.86,89,0,0.4860499650812316
182,-2.54,-2.3599999999999994,34,0,0.4841057652209067
183,-2.57,-2.4199999999999995,7,0,0.48216934216002305
184,5.18,5.390000000000001,42,1,0.48024066479138294
185,4.57,4.78,43,1,0.4783197021322174
186,-2.4899999999999998,-2.34,9,0,0.47640642332368854
187,4.9399999999999995,5.15,46,1,0.47450079763039377
188,5.48,5.630000000000001,12,1,0.4726027944398722
189,-2.41,-2.2299999999999995,21,0,0.4707123832621127
190,4.99,5.2,41,1,0.4688295337290642
191,5.54,5.75,26,1,0.46695421559414796
192,5.28,5.49,32,1,0.4650863987317714
193,5.26,5.500000000000001,34,1,0.4632260531368443
194,4.3,4.630000000000001,50,1,0.4613731489242969
195,4.51,4.84,49,1,0.45952765632859977
196,-1.13,-1.1899999999999995,13,0,0.45768954570328535
197,4.63,4.78,37,1,0.4558587875204722
198,5.16,5.4,44,1,0.45403535237039033
199,5.41,5.62,39,1,0.4522192109609088
200,4.68,4.92,32,1,0.45041033411706516
201,-2.72,-2.5999999999999996,52,0,0.4486086927805969
202,5.75,5.960000000000001,25,1,0.4468142580094745
203,5.35,5.620000000000001,25,1,0.4450270009774366
204,5.09,5.24,31,1,0.4432468929735268
205,-2.11,-1.9599999999999995,11,0,0.4414739054016327
206,4.7,4.94,50,1,0.4397080097800262
207,-1.64,-1.4599999999999995,24,0,0.43794917774090614
208,5.29,5.53,31,1,0.4361973810299425
209,-2.78,-2.7499999999999996,8,0,0.4344525915058227
210,5.6,5.8100000000000005,20,1,0.43271478113979944
211,5.52,5.73,28,1,0.4309839220152402
212,3.52,3.7300000000000004,58,1,0.42925998632717927
213,-3.4,-3.3699999999999997,30,0,0.42754294638187057
214,5.17,5.32,23,1,0.4258327745963431
215,5.59,5.74,21,1,0.4241294434979577
216,5.35,5.5600000000000005,25,1,0.4224329257239659
217,-1.8900000000000001,-1.7099999999999993,29,0,0.42074319402107
218,4.32,4.65,48,1,0.41906022124498576
219,-2.29,-2.1099999999999994,29,0,0.41738398036000585
220,5.52,5.73,28,1,0.4157144444385658
221,5.09,5.390000000000001,31,1,0.41405158666081154
222,-1.1099999999999999,-1.1699999999999995,11,0,0.4123953803141683
223,5.84,5.99,16,1,0.4107457987929116
224,-2.4299999999999997,-2.3099999999999996,23,0,0.40910281559774
225,5.03,5.36,37,1,0.40746640433534903
226,3.6,3.8100000000000005,40,1,0.4058365387180076
227,-1.66,-1.4799999999999998,26,0,0.4042131925631356
228,-2.92,-2.7699999999999996,22,0,0.40259633979288306
229,4.9,5.050000000000001,30,1,0.40098595443371154
230,5.8,5.95,20,1,0.3993820106159767
231,-2.29,-2.1699999999999995,9,0,0.3977844825735128
232,5.28,5.430000000000001,32,1,0.39619334464321876
233,-2.7,-2.55,10,0,0.3946085712646459
234,-2.05,-1.8999999999999997,5,0,0.3930301369795873
235,5.17,5.41,23,1,0.39145801643166894
236,5.45,5.66,35,1,0.38989218436594225
237,4.7,5.03,50,1,0.3883326156284785
238,5.49,5.73,31,1,0.38677928516596455
239,5.17,5.380000000000001,43,1,0.3852321680253007
240,4.37,4.61,43,1,0.3836912393531995
241,-1.75,-1.63,35,0,0.3821564743957867
242,4.65,4.95,35,1,0.3806278484982036
243,5.26,5.470000000000001,34,1,0.37910533710421074
244,5.04,5.25,36,1,0.3775889157557939
245,5.16,5.3100000000000005,44,1,0.37607856009277074
246,4.62,4.83,28,1,0.3745742458523997
247,4.34,4.67,46,1,0.3730759488689901
248,5.52,5.73,28,1,0.37158364507351416
249,-2.3499999999999996,-2.05,15,0,0.3700973104932201
250,5.67,5.82,13,1,0.36861692125124723
251,5.28,5.5200000000000005,32,1,0.36714245356624226
252,5.68,5.83,32,1,0.3656738837519773
253,-1.5599999999999998,-1.5899999999999999,16,0,0.3642111882169694
254,-2.1399999999999997,-2.0199999999999996,14,0,0.3627543434641015
255,5.33,5.540000000000001,27,1,0.3613033260902451
256,5.66,5.99,34,1,0.35985811278588414
257,4.34,4.58,46,1,0.3584186803347406
258,-3.21,-2.9099999999999993,21,0,0.35698500561340163
259,4.82,5.15,38,1,0.355557065590948
260,-3.6999999999999997,-3.5199999999999996,40,0,0.35413483732858425
261,5.75,5.99,25,1,0.3527182979792699
262,4.96,5.2,44,1,0.35130742478735283
263,4.39,4.720000000000001,61,1,0.3499021950882034
264,5.1,5.3100000000000005,30,1,0.3485025863078506
265,5.32,5.62,28,1,0.3471085759626192
266,5.75,5.99,25,1,0.3457201416587687
267,4.609999999999999,4.94,39,1,0.3443372610921336
268,5.7,6.03,30,1,0.34295991204776505
269,5.21,5.420000000000001,39,1,0.341588072399574
270,4.88,5.21,32,1,0.3402217201099757
271,-3.49,-3.4599999999999995,19,0,0.3388608332295358
272,-2.3099999999999996,-2.13,11,0,0.33750538989661766
273,5.18,5.390000000000001,22,1,0.3361553683370312
274,5.7,5.94,30,1,0.33481074686368306
275,5.74,5.95,26,1,0.3334715038762283
276,-4.339999999999999,-4.16,74,0,0.3321376178607234
277,4.56,4.7700000000000005,44,1,0.3308090673892805
278,5.3,5.6000000000000005,30,1,0.3294858311197234
279,5.53,5.74,27,1,0.32816788779524453
280,-3.09,-2.9699999999999998,29,0,0.32685521624406355
281,-2.0799999999999996,-1.8999999999999997,8,0,0.3255477953790873
282,5.2299999999999995,5.470000000000001,37,1,0.3242456041975709
283,5.37,5.61,23,1,0.32294862178078065
284,4.8100000000000005,5.0200000000000005,39,1,0.3216568272936575
285,5.58,5.82,22,1,0.3203701999844829
286,4.64,4.8500000000000005,36,1,0.31908871918454496
287,5.88,6.03,12,1,0.3178123643078068
288,4.5600000000000005,4.7700000000000005,34,1,0.31654111485057557
289,5.35,5.620000000000001,25,1,0.31527495039117326
290,4.87,5.08,33,1,0.31401385058960857
291,3.7900000000000014,4.0,51,1,0.3127577951872501
292,4.71,4.920000000000001,39,1,0.3115067640065011
293,-4.01,-3.9799999999999995,41,0,0.3102607369504751
294,5.68,5.890000000000001,32,1,0.3090196940026732
295,-5.509999999999995,-5.48,81,0,0.30778361522666253
296,-1.6400000000000001,-1.3399999999999999,44,0,0.30655248076575586
297,4.84,5.140000000000001,36,1,0.3053262708426928
298,5.8,6.1000000000000005,20,1,0.30410496575932205
299,5.35,5.590000000000001,25,1,0.3028885458962848
300,4.75,4.960000000000001,35,1,0.3016769917126996
301,5.16,5.430000000000001,24,1,0.30047028374584883
302,5.59,5.800000000000001,21,1,0.29926840261086546
303,4.85,5.0,15,1,0.298071329000422
304,-2.75,-2.6299999999999994,15,0,0.2968790436844203
305,5.1,5.370000000000001,30,1,0.29569152750968264
306,5.29,5.500000000000001,31,1,0.2945087613996439
307,5.83,6.07,17,1,0.2933307263540453
308,5.82,5.970000000000001,18,1,0.2921574034486291
309,5.07,5.28,33,1,0.2909887738348346
310,5.29,5.5,31,1,0.2898248187394953
311,5.5,5.74,30,1,0.2886655194645373
312,3.600000000000002,3.81,90,1,0.28751085738667914
313,5.67,5.82,13,1,0.2863608139571324
314,5.37,5.640000000000001,23,1,0.28521537070130387
315,5.41,5.62,19,1,0.28407450921849864
316,5.83,6.040000000000001,17,1,0.28293821118162465
317,5.78,5.99,22,1,0.28180645833689816
318,5.78,6.0200000000000005,22,1,0.2806792325035506
319,5.28,5.61,32,1,0.2795565155735364
320,-1.3399999999999999,-1.3999999999999997,14,0,0.2784382895112422
321,5.4,5.550000000000001,20,1,0.27732453635319726
322,4.88,5.09,32,1,0.2762152382077845
323,-2.37,-2.25,17,0,0.27511037725495335
324,5.75,5.99,25,1,0.2740099357459335
325,5.7700000000000005,5.98,23,1,0.2729138960029498
326,5.76,5.970000000000001,24,1,0.271822240418938
327,4.86,5.19,34,1,0.27073495145726223
328,5.48,5.75,32,1,0.26965201165143315
329,4.64,4.91,26,1,0.2685734036048274
330,-2.29,-1.9899999999999993,39,0,0.2674991099904081
331,-2.01,-1.9799999999999998,1,0,0.26642911355044646
332,5.6,5.870000000000001,20,1,0.2653633970962447
333,4.93,5.140000000000001,27,1,0.2643019435078597
334,5.17,5.380000000000001,23,1,0.26324473573382823
335,4.8,5.13,40,1,0.2621917567908929
336,5.74,5.98,26,1,0.26114298976372935
337,5.79,6.000000000000001,21,1,0.2600984178046744
338,5.15,5.36,35,1,0.2590580241334557
339,5.79,6.000000000000001,21,1,0.2580217920369219
340,-2.27,-2.1499999999999995,7,0,0.2569897048687742
341,5.76,5.970000000000001,24,1,0.2559617460492991
342,-1.2999999999999998,-1.3599999999999997,10,0,0.2549378990651019
343,4.9,5.140000000000001,30,1,0.2539181474688415
344,5.88,6.03,12,1,0.2529024748789661
345,5.5,5.7700000000000005,30,1,0.25189086497945024
346,5.15,5.45,25,1,0.2508833015195324
347,5.82,6.0600000000000005,18,1,0.2498797683134543
348,5.65,5.800000000000001,15,1,0.24888024924020047
349,5.38,5.53,22,1,0.24788472824323968
350,5.4,5.640000000000001,20,1,0.24689318933026672
351,5.78,6.0200000000000005,22,1,0.24590561657294566
352,5.14,5.380000000000001,26,1,0.24492199410665388
353,5.32,5.65,28,1,0.24394230613022727
354,5.54,5.78,26,1,0.24296653690570635
355,-2.33,-2.15,13,0,0.24199467075808354
356,5.34,5.58,26,1,0.2410266920750512
357,-1.67,-1.3699999999999997,27,0,0.240062585306751
358,-3.7,-3.6699999999999995,70,0,0.239102334965524
359,5.7700000000000005,5.98,23,1,0.2381459256256619
360,5.03,5.420000000000001,37,1,0.23719334192315925
361,5.4,5.700000000000001,20,1,0.2362445685554666
362,5.26,5.590000000000001,34,1,0.23529959028124472
363,4.54,4.750000000000001,26,1,0.23435839192011976
364,5.4,5.61,20,1,0.23342095835243928
365,5.79,6.000000000000001,21,1,0.23248727451902954
366,4.8500000000000005,5.0600000000000005,25,1,0.23155732542095342
367,5.13,5.430000000000001,27,1,0.2306310961192696
368,5.8,6.040000000000001,20,1,0.22970857173479253
369,5.11,5.44,29,1,0.22878973744785336
370,-2.76,-2.6099999999999994,6,0,0.22787457849806195
371,5.8100000000000005,6.08,19,1,0.2269630801840697
372,5.4,5.61,20,1,0.2260552278633334
373,5.33,5.540000000000001,27,1,0.22515100695188006
374,5.53,5.920000000000001,27,1,0.22425040292407253
